"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.f3properties.com/","text/html; charset=UTF-8","200","OK","Indexable","","F3 Properties – Full-service real estate broker","47","398","","0","0","","0","F3 PROPERTIES","13","CURRENT PROJECTS","16","Greetings, and thank you for visiting my site.","46","Search Property Listings","24","max-image-preview:large","","","https://www.f3properties.com/","","","","","","103170","19019","19019","7.286","","325","57","5.702","67.770","Normal","2.105","0","0","","11","5","0","100.000","14","5","0","0","0","0","","","","","ab8661e5f526abbedc33e01941938af0","0.115","","","","","en-US","1.1","","","","","","https://www.f3properties.com/","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.136","Tue, 12 May 2026 17:31:41 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.13.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.374","Tue, 12 May 2026 17:31:41 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.13.1","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-60ae383c61960.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","333893","333893","333893","127.908","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.412","Wed, 25 Sep 2024 15:41:35 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-60ae383c61960.jpg","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/all.min.css?ver=2.10.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.429","Tue, 19 May 2026 03:13:11 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/all.min.css?ver=2.10.2","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-f9g6py7kh5lc.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1328271","1328271","1328271","508.835","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.472","Wed, 25 Sep 2024 15:41:28 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-f9g6py7kh5lc.jpg","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","9851","9851","9851","3.774","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.293","Wed, 31 Jan 2024 21:32:53 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.315","Tue, 19 May 2026 03:13:11 GMT","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.297","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","2026-05-19 11:29:00"
"https://www.f3properties.com/projects/","text/html; charset=UTF-8","200","OK","Indexable","","Current Projects – F3 Properties","32","282","","0","0","","0","Current & Recent Projects","25","","0","41 Cooper Drive/Griffin Ranch","29","Indian Creek-Luxury Spec.","25","max-image-preview:large","","","https://www.f3properties.com/projects/","","","","","","114717","24682","24682","9.455","","1112","175","6.354","69.377","Normal","6.072","1","1","","17","5","0","100.000","17","14","0","0","0","0","","","","","14d9c726e6ed656e5220b0b997668ff1","0.287","","","","","en-US","1.1","","","","","","https://www.f3properties.com/projects/","2026-05-19 11:29:00"
