"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.f3properties.com/","325","57","5.702","67.770","Normal","","","","","","","","","","en-US","ab8661e5f526abbedc33e01941938af0","Indexable",""
"https://www.f3properties.com/projects/","1112","175","6.354","69.377","Normal","","","","","","","","","","en-US","14d9c726e6ed656e5220b0b997668ff1","Indexable",""
"https://www.f3properties.com/contact/","127","43","2.953","100.000","Very Easy","","","","","","","","","","en-US","a1327e67fc260d102679ab15a1d4749e","Indexable",""
"https://www.f3properties.com/history/","878","130","6.754","74.043","Fairly Easy","","","","","","","","","","en-US","2ffae5514d5aa174ae8cdfa0870a7a6e","Indexable",""
"https://www.f3properties.com/about/","298","52","5.731","80.932","Easy","","","","","","","","","","en-US","e16803fb325bcb951dfa5c14ac01f112","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Project-Brief-Rev.-Dec.-2021.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2022/01/Roth-SVSourceAd-201-Sitting-Bull.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Updated-Floor-Plans-12-5-21.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2022/01/WHJ-F3-201-Sitting-Bull-Winter-Ad.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2022/01/22_SV_Winter_F3-Properties-PROFILE-low-res-cover.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2024/09/41-Cooper-Renderings-Images-09-23-2024.pdf","0","","","","","","","","","","","","","","","","Indexable",""
"https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","0","","","","","","","","","","","","","","","","Indexable",""
